stream_name,detector_rule,window_size,step_size,step_fraction,bins,binning,reference_mode,calibrated_threshold_used,drift_detected,first_detection_window,detection_delay,false_alarm_count_before_drift,true_detection_after_drift,max_kl,min_ks_pvalue,max_js,max_wasserstein,n_windows,n_records,constant_confidence_warning
class_prior_gradual,JS_only,50,50,1.0,10,quantile,rolling,True,True,0,-13,11,True,4.120352,0.067795,0.14103,0.179348,39,2000,False
class_prior_gradual,Wasserstein_only,50,50,1.0,10,quantile,rolling,True,True,0,-13,4,True,4.120352,0.067795,0.14103,0.179348,39,2000,False
class_prior_gradual,Ensemble_majority,50,50,1.0,10,quantile,rolling,True,True,0,-13,8,True,4.120352,0.067795,0.14103,0.179348,39,2000,False
class_prior_gradual,KL_only,50,50,1.0,10,quantile,multi_reference,True,True,2,-11,4,True,3.325992,2e-05,0.103805,0.227032,39,2000,False
class_prior_gradual,KS_only,50,50,1.0,10,quantile,multi_reference,True,True,10,-3,1,True,3.325992,2e-05,0.103805,0.227032,39,2000,False
class_prior_gradual,KL_AND_KS,50,50,1.0,10,quantile,multi_reference,True,True,13,0,0,True,3.325992,2e-05,0.103805,0.227032,39,2000,False
class_prior_gradual,JS_only,50,50,1.0,10,quantile,multi_reference,True,True,0,-13,6,True,3.325992,2e-05,0.103805,0.227032,39,2000,False
class_prior_gradual,Wasserstein_only,50,50,1.0,10,quantile,multi_reference,True,True,0,-13,4,True,3.325992,2e-05,0.103805,0.227032,39,2000,False
class_prior_gradual,Ensemble_majority,50,50,1.0,10,quantile,multi_reference,True,True,0,-13,6,True,3.325992,2e-05,0.103805,0.227032,39,2000,False
class_prior_gradual,KL_only,50,50,1.0,10,quantile,adaptive_clean,True,True,2,-11,4,True,3.896093,0.005842,0.131548,0.227842,39,2000,False
class_prior_gradual,KS_only,50,50,1.0,10,quantile,adaptive_clean,True,False,,,0,False,4.120352,0.067795,0.14103,0.179348,39,2000,False
class_prior_gradual,KL_AND_KS,50,50,1.0,10,quantile,adaptive_clean,True,False,,,0,False,4.120352,0.067795,0.14103,0.179348,39,2000,False
class_prior_gradual,JS_only,50,50,1.0,10,quantile,adaptive_clean,True,True,0,-13,10,True,4.003985,1.4e-05,0.17381,0.349883,39,2000,False
class_prior_gradual,Wasserstein_only,50,50,1.0,10,quantile,adaptive_clean,True,True,0,-13,5,True,4.579831,0.039195,0.136579,0.171533,39,2000,False
class_prior_gradual,Ensemble_majority,50,50,1.0,10,quantile,adaptive_clean,True,True,0,-13,7,True,3.896093,0.005842,0.131548,0.227842,39,2000,False
class_prior_gradual,KL_only,50,25,0.5,10,quantile,fixed_first,True,True,1,-25,7,True,4.283408,0.000246,0.15846,0.33301,78,2000,False
class_prior_gradual,KS_only,50,25,0.5,10,quantile,fixed_first,True,True,6,-20,2,True,4.283408,0.000246,0.15846,0.33301,78,2000,False
class_prior_gradual,KL_AND_KS,50,25,0.5,10,quantile,fixed_first,True,True,6,-20,1,True,4.283408,0.000246,0.15846,0.33301,78,2000,False
class_prior_gradual,JS_only,50,25,0.5,10,quantile,fixed_first,True,True,0,-26,16,True,4.283408,0.000246,0.15846,0.33301,78,2000,False
class_prior_gradual,Wasserstein_only,50,25,0.5,10,quantile,fixed_first,True,True,0,-26,11,True,4.283408,0.000246,0.15846,0.33301,78,2000,False
class_prior_gradual,Ensemble_majority,50,25,0.5,10,quantile,fixed_first,True,True,0,-26,14,True,4.283408,0.000246,0.15846,0.33301,78,2000,False
class_prior_gradual,KL_only,50,25,0.5,10,quantile,rolling,True,True,4,-22,4,True,1.854589,0.271914,0.095617,0.146201,78,2000,False
class_prior_gradual,KS_only,50,25,0.5,10,quantile,rolling,True,False,,,0,False,1.854589,0.271914,0.095617,0.146201,78,2000,False
class_prior_gradual,KL_AND_KS,50,25,0.5,10,quantile,rolling,True,False,,,0,False,1.854589,0.271914,0.095617,0.146201,78,2000,False
class_prior_gradual,JS_only,50,25,0.5,10,quantile,rolling,True,True,0,-26,11,True,1.854589,0.271914,0.095617,0.146201,78,2000,False
class_prior_gradual,Wasserstein_only,50,25,0.5,10,quantile,rolling,True,True,0,-26,5,True,1.854589,0.271914,0.095617,0.146201,78,2000,False
class_prior_gradual,Ensemble_majority,50,25,0.5,10,quantile,rolling,True,True,0,-26,7,True,1.854589,0.271914,0.095617,0.146201,78,2000,False
class_prior_gradual,KL_only,50,25,0.5,10,quantile,multi_reference,True,True,1,-25,7,True,3.344799,2.4e-05,0.102948,0.267184,78,2000,False
class_prior_gradual,KS_only,50,25,0.5,10,quantile,multi_reference,True,True,20,-6,2,True,3.344799,2.4e-05,0.102948,0.267184,78,2000,False
class_prior_gradual,KL_AND_KS,50,25,0.5,10,quantile,multi_reference,True,True,26,0,0,True,3.344799,2.4e-05,0.102948,0.267184,78,2000,False
class_prior_gradual,JS_only,50,25,0.5,10,quantile,multi_reference,True,True,0,-26,11,True,3.344799,2.4e-05,0.102948,0.267184,78,2000,False
class_prior_gradual,Wasserstein_only,50,25,0.5,10,quantile,multi_reference,True,True,0,-26,8,True,3.344799,2.4e-05,0.102948,0.267184,78,2000,False
class_prior_gradual,Ensemble_majority,50,25,0.5,10,quantile,multi_reference,True,True,0,-26,11,True,3.344799,2.4e-05,0.102948,0.267184,78,2000,False
class_prior_gradual,KL_only,50,25,0.5,10,quantile,adaptive_clean,True,True,4,-22,6,True,3.14518,0.005842,0.134373,0.189741,78,2000,False
class_prior_gradual,KS_only,50,25,0.5,10,quantile,adaptive_clean,True,False,,,0,False,1.854589,0.271914,0.095617,0.146201,78,2000,False
class_prior_gradual,KL_AND_KS,50,25,0.5,10,quantile,adaptive_clean,True,False,,,0,False,1.854589,0.271914,0.095617,0.146201,78,2000,False
class_prior_gradual,JS_only,50,25,0.5,10,quantile,adaptive_clean,True,True,0,-26,17,True,4.120352,0.005842,0.14103,0.189741,78,2000,False
class_prior_gradual,Wasserstein_only,50,25,0.5,10,quantile,adaptive_clean,True,True,0,-26,9,True,2.21001,0.039195,0.095617,0.226809,78,2000,False
class_prior_gradual,Ensemble_majority,50,25,0.5,10,quantile,adaptive_clean,True,True,0,-26,12,True,2.900355,0.039195,0.115089,0.182319,78,2000,False
class_prior_gradual,KL_only,50,50,1.0,20,equal_width,fixed_first,True,True,0,-13,13,True,7.491234,0.000246,0.210706,0.278828,39,2000,False
class_prior_gradual,KS_only,50,50,1.0,20,equal_width,fixed_first,True,True,3,-10,1,True,7.491234,0.000246,0.210706,0.278828,39,2000,False
class_prior_gradual,KL_AND_KS,50,50,1.0,20,equal_width,fixed_first,True,True,3,-10,1,True,7.491234,0.000246,0.210706,0.278828,39,2000,False
class_prior_gradual,JS_only,50,50,1.0,20,equal_width,fixed_first,True,True,0,-13,13,True,7.491234,0.000246,0.210706,0.278828,39,2000,False
class_prior_gradual,Wasserstein_only,50,50,1.0,20,equal_width,fixed_first,True,True,0,-13,5,True,7.491234,0.000246,0.210706,0.278828,39,2000,False
class_prior_gradual,Ensemble_majority,50,50,1.0,20,equal_width,fixed_first,True,True,0,-13,13,True,7.491234,0.000246,0.210706,0.278828,39,2000,False
class_prior_gradual,KL_only,50,50,1.0,20,equal_width,rolling,True,True,0,-13,11,True,6.255222,0.067795,0.185231,0.179348,39,2000,False
class_prior_gradual,KS_only,50,50,1.0,20,equal_width,rolling,True,False,,,0,False,6.255222,0.067795,0.185231,0.179348,39,2000,False
class_prior_gradual,KL_AND_KS,50,50,1.0,20,equal_width,rolling,True,False,,,0,False,6.255222,0.067795,0.185231,0.179348,39,2000,False
